deal_id,assumptions,results,updated_at
3d6a7510-516c-4318-8541-b8d8554e66b5,"{""fx"": 18, ""isr_rate"": 0.3, ""capex_usd"": 1366655.1, ""debt_rate"": 0.14, ""escalation"": 0.05, ""term_years"": 120, ""degradation"": 0.005, ""target_dscr"": 1.3, ""tenor_years"": 10, ""om_pct_capex"": 0.015, ""discount_rate"": 0.12, ""generation_kwh"": 3023772.0399999996, ""tariff_mxn_kwh"": 2.07526955967223, ""immediate_depreciation"": true}","{""gearing"": 0.963333242222147, ""baseline"": {""has_bills"": false}, ""grounded"": false, ""min_dscr"": 1.3, ""capex_mxn"": 24599791.8, ""tax_year1"": 0, ""equity_irr"": 1.699439070132212, ""project_irr"": 0.2871766464529287, ""lcoe_mxn_kwh"": 1.1440503953086598, ""max_debt_mxn"": 23697797.192683786, ""after_tax_equity_irr"": 1.6951923131943205}",2026-07-08 17:00:07.916454+00
f68c01d1-95ef-45d8-83d4-97b94e50486e,"{""debt_rate"": 0.14, ""target_dscr"": 1.3, ""tenor_years"": 5, ""construction_months"": 6}","{""el"": {""pd"": 0.06, ""ead"": 6000000, ""lgd"": 0.45}, ""priced_rate"": 0.16, ""max_debt_mxn"": 6000000}",2026-07-08 18:50:07.850111+00
aa870e4f-3f75-4165-a9a8-72b07822d81e,"{""debt_rate"": 0.14, ""term_years"": 20, ""tenor_years"": 5, ""generation_kwh"": 1000000}","{""max_debt_mxn"": 6000000}",2026-07-08 18:49:29.948577+00
