stage,win_prob,is_commit,is_won,is_lost,max_days_in_stage,sort_order,updated_by,updated_at
lead,0.05,f,f,f,21,1,,2026-07-08 21:13:04.00419+00
earlies,0.15,f,f,f,30,2,,2026-07-08 21:13:04.00419+00
forwards,0.35,f,f,f,30,3,,2026-07-08 21:13:04.00419+00
docs,0.55,f,f,f,21,4,,2026-07-08 21:13:04.00419+00
in_signing,0.80,t,f,f,14,5,,2026-07-08 21:13:04.00419+00
closed,1.00,f,t,f,,6,,2026-07-08 21:13:04.00419+00
stand_by,0.10,f,f,f,60,7,,2026-07-08 21:13:04.00419+00
perdido,0.00,f,f,t,,8,,2026-07-08 21:13:04.00419+00
