id,app_user_id,topic,completed_on,expires_on,score,evidence_ref,recorded_by,created_at
28fedc84-cf89-4f91-96e3-1303e3257375,41ff3fba-451b-45fb-8958-41d19468fa11,lfpiorpi_basico,2026-07-09,2027-07-09,,,system:it47-baseline,2026-07-09 00:10:26.569613+00
96cc9ac4-be20-4393-9e8a-d1e8b1c09d31,41ff3fba-451b-45fb-8958-41d19468fa11,pld_ft_anual,2026-07-09,2027-07-09,,,system:it47-baseline,2026-07-09 00:10:26.569613+00
d994d7ea-0b84-4452-a177-f73be68a7edc,94665966-e6b1-4f2d-950e-88c0385a9b33,lfpiorpi_basico,2026-07-09,2027-07-09,,,system:it47-baseline,2026-07-09 00:10:26.569613+00
828ea968-30af-4688-b2b9-6971ca47b32e,94665966-e6b1-4f2d-950e-88c0385a9b33,pld_ft_anual,2026-07-09,2027-07-09,,,system:it47-baseline,2026-07-09 00:10:26.569613+00
49d7b844-803e-473a-b168-39a9a4b724ee,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,lfpiorpi_basico,2026-07-09,2027-07-09,,,system:it47-baseline,2026-07-09 00:10:26.569613+00
39ae2e00-c023-42dc-9489-cc3473be2b82,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,pld_ft_anual,2026-07-09,2027-07-09,,,system:it47-baseline,2026-07-09 00:10:26.569613+00
